logz logzerr logvol nlive logl logwt insert_order
-1.180934792774769336e+13 2.884476098682271118e+11 -2.350000000000001255e-01 2.000000000000000000e+02 -1.179404802044260547e+13 -1.179404802044814062e+13 1.350000000000000089e+00
-1.179404802044814062e+13 2.919489650099332886e+11 -2.400000000000001299e-01 2.000000000000000000e+02 -1.157186892314851758e+13 -1.157186892315405859e+13 1.899999999999999911e+00
-1.157186892315405859e+13 2.793610874676248169e+11 -2.450000000000001343e-01 2.000000000000000000e+02 -1.144078867010787305e+13 -1.144078867011341797e+13 1.080000000000000071e+00
-1.144078867011341797e+13 1.010055541869403229e+11 -2.500000000000001110e-01 2.000000000000000000e+02 -1.143351276994792188e+13 -1.143351276995347266e+13 1.449999999999999956e+00
-1.143351276995347266e+13 3.429892228512434959e+09 -2.550000000000001155e-01 2.000000000000000000e+02 -1.128943553670078516e+13 -1.128943553670634180e+13 5.899999999999999689e-01
-1.128943553670634180e+13 6.966527495686332703e+10 -2.600000000000001199e-01 2.000000000000000000e+02 -1.070888577216546875e+13 -1.070888577217102930e+13 1.959999999999999964e+00
-1.070888577217102930e+13 3.309830239876796875e+11 -2.650000000000001243e-01 2.000000000000000000e+02 -1.063599548275885742e+13 -1.063599548276442383e+13 3.800000000000000044e-01
-1.063599548276442383e+13 2.678898069417800293e+11 -2.700000000000001288e-01 2.000000000000000000e+02 -1.055536853794810156e+13 -1.055536853795367188e+13 1.919999999999999929e+00
-1.055536853795367188e+13 1.951580007827294922e+11 -2.750000000000001332e-01 2.000000000000000000e+02 -9.978349671977419922e+12 -9.978349671982996094e+12 8.599999999999999867e-01
-9.978349671982996094e+12 4.196921904047239380e+11 -2.800000000000001377e-01 2.000000000000000000e+02 -9.839872973774326172e+12 -9.839872973779906250e+12 2.700000000000000178e-01
-9.839872973779906250e+12 2.832478373713078003e+11 -2.850000000000001421e-01 2.000000000000000000e+02 -8.214807247152948242e+12 -8.214807247158534180e+12 1.600000000000000089e+00
-8.214807247158534180e+12 9.130314230966519775e+11 -2.900000000000001465e-01 2.000000000000000000e+02 -6.960545317556628906e+12 -6.960545317562219727e+12 7.800000000000000266e-01
-6.960545317562219727e+12 1.124669279880536621e+12 -2.950000000000001510e-01 2.000000000000000000e+02 -6.883861592274038086e+12 -6.883861592279633789e+12 1.439999999999999947e+00
-6.883861592279633789e+12 3.614905476938346863e+10 -3.000000000000001554e-01 2.000000000000000000e+02 -6.657049883522595703e+12 -6.657049883528196289e+12 1.700000000000000122e-01
-6.657049883528196289e+12 1.069200648735310364e+11 -3.050000000000001599e-01 2.000000000000000000e+02 -6.601101664613651367e+12 -6.601101664619256836e+12 1.899999999999999911e+00
-6.601101664619256836e+12 1.032495723406696777e+11 -3.100000000000001643e-01 2.000000000000000000e+02 -6.150936279581228516e+12 -6.150936279586838867e+12 8.399999999999999689e-01
-6.150936279586838867e+12 2.636197415100916443e+11 -3.150000000000001688e-01 2.000000000000000000e+02 -5.307029354594984375e+12 -5.307029354600600586e+12 3.599999999999999867e-01
-5.307029354600600586e+12 5.448919481117072754e+11 -3.200000000000001732e-01 2.000000000000000000e+02 -4.679178070788515625e+12 -4.679178070794136719e+12 1.860000000000000098e+00
-4.679178070794136719e+12 7.835482194468347168e+11 -3.250000000000001776e-01 2.000000000000000000e+02 -4.636778289714508789e+12 -4.636778289720134766e+12 6.199999999999999956e-01
-4.636778289720134766e+12 1.835964376259976578e+10 -3.300000000000001821e-01 2.000000000000000000e+02 -4.462764962387892578e+12 -4.462764962393523438e+12 1.100000000000000006e-01
-4.462764962393523438e+12 8.949622736746028137e+10 -3.350000000000001865e-01 2.000000000000000000e+02 -4.287015093773944336e+12 -4.287015093779580078e+12 1.709999999999999964e+00
-4.287015093779580078e+12 1.507842710820169373e+11 -3.400000000000001910e-01 2.000000000000000000e+02 -4.249498901617926270e+12 -4.249498901623566895e+12 1.610000000000000098e+00
-4.249498901623566895e+12 1.469836085170984192e+11 -3.450000000000001954e-01 2.000000000000000000e+02 -3.680599327749468262e+12 -3.680599327755114258e+12 1.679999999999999938e+00
-3.680599327755114258e+12 3.369308154007072754e+11 -3.500000000000001998e-01 2.000000000000000000e+02 -3.638720133479000000e+12 -3.638720133484650879e+12 9.899999999999999911e-01
-3.638720133484650879e+12 1.560745420528032303e+10 -3.550000000000002043e-01 2.000000000000000000e+02 -3.515976497823485352e+12 -3.515976497829141113e+12 6.600000000000000311e-01
-3.515976497829141113e+12 5.314955331586576843e+10 -3.600000000000002087e-01 2.000000000000000000e+02 -3.507472899737987793e+12 -3.507472899743648438e+12 1.959999999999999964e+00
-3.507472899743648438e+12 4.008634579793395996e+09 -3.650000000000002132e-01 2.000000000000000000e+02 -3.286766255741847168e+12 -3.286766255747513184e+12 6.800000000000000488e-01
-3.286766255747513184e+12 9.681691795392062378e+10 -3.700000000000002176e-01 2.000000000000000000e+02 -3.258333999363787598e+12 -3.258333999369458496e+12 7.399999999999999911e-01
