nH log(R_in*) T_p R_ratio
4.142276894900507461e-02 7.710768223899848728e+00 2.399765606687197578e+05 9.892352706391424277e+00
4.858052661915090303e-02 7.764521495585120725e+00 2.369428860629630217e+05 8.614053196356069364e+00
4.636291829194999492e-02 7.762251159457295380e+00 2.365001135388953553e+05 8.721474053764575629e+00
4.739146578846444025e-02 7.766745460756553143e+00 2.366246982225952379e+05 8.832738003693572537e+00
4.184635711715896378e-02 7.711723376416571796e+00 2.398067328533316613e+05 9.383117590740484459e+00
4.238358194829362768e-02 7.720688757945429082e+00 2.390612944811597408e+05 8.887560257442505218e+00
3.701685002663303303e-02 7.665029397689524515e+00 2.426560371829511714e+05 1.079515919847278127e+01
4.107243105022018170e-02 7.706618724575369228e+00 2.400976711956912768e+05 9.776838740463633215e+00
4.868144260766828213e-02 7.786377628429747233e+00 2.349589638790016470e+05 8.424436332277661421e+00
4.782343105593465232e-02 7.775460581091600432e+00 2.357395579295759380e+05 7.760087193326018706e+00
4.740841045211839633e-02 7.759410071791735142e+00 2.369288262912088539e+05 9.200962221000525076e+00
3.777249565967640693e-02 7.677073294280474691e+00 2.416098989723734267e+05 1.047747218180629147e+01
4.540514185252990387e-02 7.755985134831378858e+00 2.367022883295293141e+05 8.587609046140734392e+00
4.175225648656780142e-02 7.698568595310611329e+00 2.408549436715501070e+05 9.629160097220001546e+00
3.457206827019515538e-02 7.668986311469945250e+00 2.412894455369807256e+05 1.049435892006020943e+01
5.392542703388772396e-02 7.811620850443317110e+00 2.345379495405935741e+05 7.696342348870452987e+00
4.023377090415775070e-02 7.710558035237491836e+00 2.395044462502083334e+05 9.396950214119323519e+00
4.466912045305414247e-02 7.717743450911391356e+00 2.399851672320720681e+05 9.392076259961205764e+00
5.006163186590874281e-02 7.810809407594974552e+00 2.336162127748018538e+05 7.139673061967134693e+00
3.981095775421895910e-02 7.709097406385532203e+00 2.394030307572736638e+05 9.890431612880743018e+00
5.133101722733927896e-02 7.815268208796759097e+00 2.333895338233671791e+05 7.213458688359562387e+00
3.877419887034390389e-02 7.673754207857838239e+00 2.421644815588273341e+05 1.025347856402568425e+01
3.701685002663303303e-02 7.665029397689524515e+00 2.426560371829511714e+05 1.079515919847278127e+01
4.631246770821192266e-02 7.765447295751746637e+00 2.364206360996406293e+05 8.283215371072227384e+00
4.374434016121678259e-02 7.749948100235336312e+00 2.368099779238072224e+05 9.058649589823668080e+00
4.847651560216717503e-02 7.787665357959800083e+00 2.348334533922260744e+05 7.848144315085168188e+00
4.954095230982420717e-02 7.799937628974685566e+00 2.343897545514194062e+05 7.905085063068947981e+00
3.756693374289288984e-02 7.678314765142331133e+00 2.414839098334588634e+05 9.749558278777287867e+00
4.294907069493469204e-02 7.699161334599056161e+00 2.412698579724244191e+05 1.085933777130398958e+01
4.985676200468607683e-02 7.779235467629568745e+00 2.362433576287796022e+05 8.658910897190160938e+00
3.654016116040267881e-02 7.654777281005757494e+00 2.434674238064997771e+05 1.131921005933939206e+01
4.784104139333528183e-02 7.779883968431041019e+00 2.354928262529098720e+05 8.215425544360392962e+00
4.364725713566600107e-02 7.747909967149515964e+00 2.368608283009915613e+05 8.792713685091829490e+00
4.410153985676139310e-02 7.727661772347528490e+00 2.389990894266219111e+05 8.947323637571523491e+00
3.834919748602902412e-02 7.674474568051665280e+00 2.420331823278672236e+05 1.087904493852825638e+01
3.784289751721700568e-02 7.676906417075139544e+00 2.413375215402775502e+05 9.882291367451234265e+00
4.337944447666911008e-02 7.724685661566972783e+00 2.390112467203310225e+05 9.188818494621322941e+00
4.817804816919840638e-02 7.766286712318276386e+00 2.366540904554558510e+05 8.623919027505404955e+00
4.187695165220958748e-02 7.731349175054583078e+00 2.383914937754442217e+05 8.626112415855047288e+00
3.981095775421895910e-02 7.709097406385532203e+00 2.394030307572736638e+05 9.890431612880743018e+00
4.979609941871666196e-02 7.775341202872926516e+00 2.366175231778509333e+05 8.303362089802471147e+00
5.282316368998291045e-02 7.830622821582976734e+00 2.326510775733292685e+05 7.532126379881706413e+00
4.242392016223449358e-02 7.726733031593375323e+00 2.384908861552681483e+05 8.831064305720193630e+00
3.609342215580613189e-02 7.663912085872508939e+00 2.424034771606234717e+05 9.863060084890562962e+00
4.404981182903972003e-02 7.726910416247235069e+00 2.390886584829217754e+05 8.677448435371507784e+00
5.304496113280118830e-02 7.803270645041106235e+00 2.349621962607803871e+05 8.115133664989274465e+00
4.009830444806074257e-02 7.699633521760294919e+00 2.404397957759541459e+05 1.033949276042711674e+01
4.964128935963270373e-02 7.801290248376529846e+00 2.341181671465787222e+05 8.028726711453449738e+00
4.922951757418192464e-02 7.794258019126098169e+00 2.344350480290025298e+05 8.034491435746719645e+00
4.772230183632131945e-02 7.744446579527097363e+00 2.384800614651506476e+05 9.557684348061785684e+00
4.383052212868728675e-02 7.732460938893642499e+00 2.384087197827775963e+05 8.775289382745956601e+00
3.985065885049873802e-02 7.679607981803484584e+00 2.422067337349504814e+05 1.049193124106586694e+01
3.828773980205658900e-02 7.673168375432451782e+00 2.421164421108305687e+05 1.066561884443312280e+01
3.898201393354739502e-02 7.701431751750935639e+00 2.400207818804922863e+05 9.387538895961039742e+00
4.519427289678169812e-02 7.739052650044984105e+00 2.386109278574627533e+05 8.884079343230094850e+00
4.837686065256849299e-02 7.782461709128116745e+00 2.356097499100037967e+05 7.351066167815698549e+00
4.308480696679931055e-02 7.714885310839247445e+00 2.398143599045035662e+05 9.590765702091218259e+00
4.571127993824815328e-02 7.737133253747674466e+00 2.388512833468621538e+05 9.275773468178849512e+00
5.139752994260159136e-02 7.806287118742869957e+00 2.342388295391346910e+05 7.271931604449130226e+00
4.935521656573389759e-02 7.792284958423516095e+00 2.345774839847795374e+05 8.165943222595480222e+00
4.521668190959016176e-02 7.761037338986835010e+00 2.364168502643819374e+05 8.482969402640268441e+00
4.275218173524575338e-02 7.714510125928211615e+00 2.399144838385306357e+05 9.370839196378355496e+00
4.432073674329503610e-02 7.713349556817379771e+00 2.402102219251567731e+05 9.464306777499636780e+00
4.247267985827335446e-02 7.718989609972023658e+00 2.392393245961543289e+05 1.056981849892202163e+01
4.303179868734911817e-02 7.743995910356991530e+00 2.370746022405161930e+05 8.652614914601093332e+00
4.864740989481533551e-02 7.801678839319039938e+00 2.339630095752325724e+05 7.536850479992370566e+00
4.812584342053451147e-02 7.769313704265613296e+00 2.366028557768279861e+05 7.950948107088819938e+00
4.163840391742205937e-02 7.726823098613213148e+00 2.381522577869270754e+05 8.658881889920831298e+00
4.735302176124570050e-02 7.770071945929486468e+00 2.362641806188974588e+05 8.482186409940524641e+00
4.944747778851077413e-02 7.784693840505425122e+00 2.353683568025590503e+05 7.902423625921628059e+00
4.548659572563121256e-02 7.732823580128056484e+00 2.389056699931433541e+05 8.782112125750304088e+00
3.871615651528699520e-02 7.692133578998290311e+00 2.402874017772954248e+05 1.064619359547146260e+01
3.780545580530064037e-02 7.666598949057925161e+00 2.428580000664361578e+05 1.038338033718728681e+01
4.213049136202867001e-02 7.734143301648942703e+00 2.378582292392626114e+05 9.035511881538273116e+00
4.427439698342459928e-02 7.738778523207329840e+00 2.379281109065351775e+05 9.215903809779803169e+00
4.231353777057998700e-02 7.722121467765288294e+00 2.388532378754020028e+05 9.038963618878959494e+00
